OBJECTID,STATEFP,COUNTYFP,County,TRACTCE,GEOID,NAME,NAMELSAD,ALAND,AWATER,DAC,Income_Group,Urban_Rural_RuralCenter,PerCap_100k_L2DCFC,DAC_andor_LIC,UCC_eligible,REV2_eligible,Shape__Area,Shape__Length
1,06,001,Alameda County,442700,06001442700,4427,Census Tract 4427,1234034,0,NA,High,Urban,0,No,"No, ineligible","No, ineligible",1234033.01495647,4764.91667039229
2,06,001,Alameda County,442800,06001442800,4428,Census Tract 4428,1278647,0,NA,Middle,Urban,271.0027100271,No,"No, ineligible","No, ineligible",1278647.29385281,4762.04935450062
3,06,037,Los Angeles County,204920,06037204920,2049.20,Census Tract 2049.20,909972,0,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",909975.249565125,3900.20222153915
4,06,037,Los Angeles County,205110,06037205110,2051.10,Census Tract 2051.10,286960,0,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",286960.736000061,2813.12813022
5,06,037,Los Angeles County,205120,06037205120,2051.20,Census Tract 2051.20,1466130,0,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",1466128.07563782,6115.04689847068
6,06,037,Los Angeles County,206010,06037206010,2060.10,Census Tract 2060.10,1418138,20551,Disadvantaged Community,Low,Urban,363.989322979859,Yes,"No, ineligible","No, ineligible",1438691.03701019,6421.12917254276
7,06,037,Los Angeles County,206020,06037206020,2060.20,Census Tract 2060.20,843243,30290,NA,High,Urban,357.661786073544,No,"No, ineligible","No, ineligible",873536.456535339,3666.48533887069
8,06,037,Los Angeles County,206050,06037206050,2060.50,Census Tract 2060.50,1643426,94606,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",1738032.949646,7759.97498382187
9,06,037,Los Angeles County,207400,06037207400,2074,Census Tract 2074,862957,6458,Disadvantaged Community,Middle,Urban,16049.3827160494,Yes,"No, ineligible","No, ineligible",869413.835418701,4624.11911698239
10,06,001,Alameda County,442900,06001442900,4429,Census Tract 4429,2066524,0,NA,High,Urban,0,No,"No, ineligible","No, ineligible",2066523.51777935,6702.08833573883
