OBJECTID,STATEFP,COUNTYFP,County,TRACTCE,GEOID,NAME,NAMELSAD,ALAND,AWATER,DAC,Income_Group,Urban_Rural_RuralCenter,PerCap_100k_L2DCFC,DAC_andor_LIC,UCC_eligible,REV2_eligible,Shape__Area,Shape__Length
3,06,037,Los Angeles County,204920,06037204920,2049.20,Census Tract 2049.20,909972,0,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",909975.249565125,3900.20222153915
4,06,037,Los Angeles County,205110,06037205110,2051.10,Census Tract 2051.10,286960,0,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",286960.736000061,2813.12813022
5,06,037,Los Angeles County,205120,06037205120,2051.20,Census Tract 2051.20,1466130,0,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",1466128.07563782,6115.04689847068
6,06,037,Los Angeles County,206010,06037206010,2060.10,Census Tract 2060.10,1418138,20551,Disadvantaged Community,Low,Urban,363.989322979859,Yes,"No, ineligible","No, ineligible",1438691.03701019,6421.12917254276
8,06,037,Los Angeles County,206050,06037206050,2060.50,Census Tract 2060.50,1643426,94606,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",1738032.949646,7759.97498382187
9,06,037,Los Angeles County,207400,06037207400,2074,Census Tract 2074,862957,6458,Disadvantaged Community,Middle,Urban,16049.3827160494,Yes,"No, ineligible","No, ineligible",869413.835418701,4624.11911698239
12,06,037,Los Angeles County,192510,06037192510,1925.10,Census Tract 1925.10,340750,0,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",340749.920471191,2474.38391897733
13,06,037,Los Angeles County,192520,06037192520,1925.20,Census Tract 1925.20,307802,0,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",307804.172130585,2379.56748672856
14,06,037,Los Angeles County,192610,06037192610,1926.10,Census Tract 1926.10,415408,0,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",415406.525333405,2788.51695962467
15,06,037,Los Angeles County,192700,06037192700,1927,Census Tract 1927,531205,0,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",531203.651199341,2930.41727489002
28,06,077,San Joaquin County,002000,06077002000,20,Census Tract 20,2008597,0,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",2008592.34327561,6472.16797092658
29,06,077,San Joaquin County,002100,06077002100,21,Census Tract 21,3312527,0,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",3312523.61304718,7422.25600089519
30,06,077,San Joaquin County,002300,06077002300,23,Census Tract 23,2082728,0,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",2082729.30912775,8475.99711022009
42,06,071,San Bernardino County,004201,06071004201,42.01,Census Tract 42.01,3087820,268850,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",3356672.08950043,8246.26360167397
43,06,071,San Bernardino County,004202,06071004202,42.02,Census Tract 42.02,1814584,0,Disadvantaged Community,Low,Urban,70.1262272089762,Yes,"Yes, eligible","No, ineligible",1814587.73907471,6099.33975291967
44,06,071,San Bernardino County,004401,06071004401,44.01,Census Tract 44.01,1786132,0,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",1786133.77870178,6844.20037254906
62,06,001,Alameda County,433200,06001433200,4332,Census Tract 4332,3174901,0,Disadvantaged Community,Low,Urban,200.225253410086,Yes,"No, ineligible","No, ineligible",3174904.98821974,9582.6115281631
67,06,077,San Joaquin County,002701,06077002701,27.01,Census Tract 27.01,4137641,0,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",4137644.96625677,11090.4999053905
68,06,077,San Joaquin County,002702,06077002702,27.02,Census Tract 27.02,2556130,0,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",2556130.53505516,7200.23630329946
79,06,077,San Joaquin County,003113,06077003113,31.13,Census Tract 31.13,2043838,24983,Disadvantaged Community,Low,Urban,423.728813559322,Yes,"No, ineligible","No, ineligible",2068820.18424398,7904.43839347089
107,06,001,Alameda County,437200,06001437200,4372,Census Tract 4372,2554599,0,Disadvantaged Community,Low,Urban,213.646681799973,Yes,"No, ineligible","No, ineligible",2554602.63485479,6574.68394796118
113,06,077,San Joaquin County,003403,06077003403,34.03,Census Tract 34.03,2592731,0,Disadvantaged Community,Middle,Urban,20.8333333333333,Yes,"Yes, eligible","No, ineligible",2592730.37042005,6728.77612858609
115,06,077,San Joaquin County,003405,06077003405,34.05,Census Tract 34.05,1107643,13623,Disadvantaged Community,Low,Urban,0,Yes,"Yes, eligible","No, ineligible",1121266.55181943,4517.31463759149
